Category,BSR,Revenue,Review.velocity,Sales,Brand,ASIN,Price,FBA.Fees,Product.Details
groceryfoodchocolateboxesgifts,7,10005,946,2668,Ferrero,B0177IQTXO,3.75,2.64,Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines 200g Pack of 16
grocerydrinkssingleservecapsulespods,23,"363,636.00",223,12987,STARBUCKS,B07X63HBQ4,28,6.78,Starbucks Blonde Espresso Roast by Nespresso Coffee Pods 8 x 10 Capsules
groceryfoodchocolateboxesgifts,52,16488,551,2748,M&M's,B00DGL2GC0,6,3.15,M&M's Peanut Chocolate Party Bulk Bag Christmas Chocolate Gift Stocking Fillers 1 kg
groceryfoodchocolateboxesgifts,59,22130.41,0,1277,Nestlé,B09B7Z9KG5,17.33,5.31,Nestlé KITKAT Festive Friends Xmas Variety Pack Milk Chocolate Figures with tasty filling approximately 100 figures with 10 different characters
grocerydrinksteablack,67,"156,044.00",174,11146,Twinings,B01LXFRFO7,14,4.8,Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags)
groceryfoodchocolateboxesgifts,88,"205,497.20",213,10280,Celebrations,B07318ZZLL,19.99,7.2,"Celebrations Chocolate Bulk Box, Christmas Chocolate Gift, Stocking Fillers, (Maltesers, Galaxy, Snickers and More), 2.4kg"
groceryfoodchocolateboxesgifts,97,9504,0,1584,Thorntons,B07WV5V488,6,2.99,Thorntons Chocolate Classic Chocolate Hamper Christmas Gifts Set Assorted White Milk and Dark Chocolates Box 449 g
grocerydrinksteablack,123,"116,792.64",119,9096,Tetley,B0077PSEA4,12.84,4.87,"Tetley Original Tea , 480 Tea bags(Pack of 6)"
groceryfoodchocolateboxesgifts,196,9014.95,1,1505,Lindt,B01KI2M0MK,5.99,2.04,Lindt Mini Snowmen Milk Chocolate Figures 50g
groceryfoodchocolateboxesgifts,202,29210.76,-3,2924,Cadbury,B075CPGN9L,9.99,3.02,Cadbury Heroes Christmas Advent-ure Calendar 232g
groceryfoodchocolateboxesgifts,214,12990.55,6,2635,Moo Free,B08HGZFZKN,4.93,2.06,Moo Free Alternative to Milk Chocolate Advent Calendar
grocerydrinkswholecoffeebeans,221,15120,0,2250,Solimo,B08WSQMK7D,6.72,3.28,Amazon Brand - Solimo Coffee Beans 1 kg (1 x 1 kg)
groceryfoodchocolateboxesgifts,267,50911.68,11,2896,TOBLERONE,B07Y22TWNF,17.58,6.85,Toblerone Advent Calendar 200 Grams
grocerydrinkscofeegroundcoffee,301,43312.5,237,1925,Taylors of Harrogate,B00EGSYHVU,22.5,7.48,Taylors of Harrogate After Dark Ground Coffee 227g (Pack of 6)
groceryfoodchocolateboxesgifts,301,2016,8,576,Lindt,B08LCN6LFM,3.5,2.87,Lindt Dark Chocolate Spread 200 g - Made with Lindt 70% Dark Chocolate and No Palm Oil
groceryfoodchocolateboxesgifts,316,"32,292.00","1,339",3510,Green & Black's,B00A48154S,9.2,,"Green & Black's Organic Tasting Collection Chocolate Bars, 395g"
groceryfoodchocolateboxesgifts,321,17375,0,1390,Hotel Chocolat,B098V12JHC,12.5,6.07,Hotel Chocolat - The Advent Calendar- Dark
groceryfoodchocolateboxesgifts,326,3615,18,2892,GALAXY,B06WW9NGS5,1.25,1.76,Galaxy Minstrels Chocolate Bag Movie Night Snacks & Chocolate Gifts 125g
groceryfoodchocolateboxesgifts,346,27991.23,0,1077,Hotel Chocolat,B098V1PTG9,25.99,6.48,Hotel Chocolat - The Everything Advent Calendar
groceryfoodchocolateboxesgifts,383,18520.65,64,2421,Maltesers,B07ZB5C3ZM,7.65,3.12,Maltesers Truffles Chocolate Gift Box Christmas Chocolate Gift Stocking Fillers 455g
groceryfoodchocolateboxesgifts,390,"48,123.47",68,5353,sevenhills wholefoods,B00M423I92,8.99,3.39,Sevenhills Wholefoods Organic Cacao Powder 1kg
grocerydrinksteablack,433,22084.11,11,789,Buyagift,B01LNU1FA4,27.99,6.05,Buyagift Afternoon Tea Gift Experience Box - 465 traditional afternoon tea experiences across the UK
groceryfoodchocolateboxesgifts,461,2526,34,2526,Lindt,B009GYESLI,1,2.29,Lindt Lindor Milk Chocolate Truffles Box - approx. 3 Balls 37g - Perfect for Gifting or Sharing - Chocolate Balls with a Smooth Melting Filling
groceryfoodchocolateboxesgifts,512,16877,42,2411,Quality Street,B075HM2WXS,7,3.23,Quality Street Chocolate Toffee & Cremes Tin 1kg
chilled drinks,514,"7,235.80",24,3146,Nesquik,B0151IEB46,2.3,2.52,"Nesquik Chocolate Milkshake Mix, 300g"
groceryfoodchocolateboxesgifts,526,11473,0,1639,Thorntons,B09D9N2ZRJ,7,2.78,Thorntons Chocolate Continental Set Assorted White Milk & Dark Chocolates 264 g
groceryfoodchocolateboxesgifts,529,30611.24,0,1276,Hotel Chocolat,B098V1SWSJ,23.99,6.17,Hotel Chocolat - The Classic Christmas Sleekster
grocerydrinksmilkssubstitutescoconut,533,24622.8,0,2312,natures aid,B0788NZ7DP,10.65,4.13,Natures Aid 100 Percent MCT Oil Premium Coconut Oil Sustainably Sourced Add to Coffees or Shakes Vegan 500 ml
groceryfoodchocolateboxesgifts,533,4306.5,0,1485,Nutella,B01N1FO0Q6,2.9,2.74,Nutella Hazelnut Chocolate Spread 350 g
grocerydrinksmilkssubstitutesoat,548,64800.54,8,2646,OATLY,B087RRN1VV,24.49,10.73,Oatly Oat Drink Barista Edition Long Life Bundle - 1 Litre (12 Pack) – Totally Vegan – Dairy Free Oat Milk
drinks,564,26520,13,1105,Cadbury,B00654CXBO,24,9.96,Cadbury Selection Pack (Box of 24)
grocerydrinksteafruittea,564,33499.2,869,2991,Pukka Herbs,B01CJXS1V0,11.2,4.04,Pukka Herbs | Chamomile Vanilla and Manuka Honey Organic Herbal Tea | Chamomile Vanilla Honey and Fennel | Perfect For Calming | 4 packs | 80 Sachets
groceryfoodchocolateboxesgifts,569,10874.56,8,1999,Beech's Fine Chocolates,B002E2HRBW,5.44,2.65,Beech's Fine Chocolate Dark Chocolate Ginger 200 g
grocerydrinksteablack,580,11742,6,1030,Clipper,B07HNFRSRJ,11.4,4.07,Clipper Organic White Teabags 6 x 26 Teabags
groceryfoodoilvinegarssaladdressings,597,11302.83,65,1617,Puregro,B08GHZRT6N,6.99,5.69,Puregro White Spirit Vinegar 5 litres
grocerydrinkscarbonatedwater,607,15192,-611,1266,Dash Water,B07LBZXJTV,12,6.46,Dash Water Blackcurrant - 12 x Flavoured Sparkling Spring Water - NO Sugar NO Sweetener NO Calories - Infused with Wonky Fruit (12 x 330ml cans)
groceryfoodchocolateboxesgifts,647,16497,0,1222,Hotel Chocolat,B098TYHGGD,13.5,4.28,Hotel Chocolat - The Classic Christmas H-box
groceryfoodchocolateboxesgifts,670,13360,11,835,Maltesers,B00O7T28DM,16,5.11,Maltesers Chocolate Reindeer Christmas Chocolate Gift Stocking Fillers 32 Packs of 29g
grocerydrinkscoffeegifts,678,50008,28,1786,Whittard of Chelsea,B084YTKTXG,28,6.93,Whittard of Chelsea | Coffees of The World Gift Set | Suitable for Vegans & Vegetarians | Ideal Coffee Gift Set | 9 x 66g Ground Coffee Bags
groceryfoodchocolateboxesgifts,693,33652.02,34,1201,RAFFAELLO,B07HB37N1M,28.02,6.95,Ferrero Raffaello Coconut 15 Piece Ballotin 150 g Pack of 6
grocerydrinkscoffeegifts,697,9375,28,1875,Aqua Carpatica,B08971KBJL,5,5.69,AQUA Carpatica Natural Still Mineral Water Virtually Nitrate Free 6 X 1 Litre
groceryfoodoilvinegarssaladdressings,747,11243.34,276,886,WILLY'S,B07CMZC3CD,12.69,NA,WILLY'S Organic Raw Apple Cider Vinegar with Real Live Mother 1000 ml
grocerydrinkscoffeegifts,774,19352.09,9,1291,Lindt,B07YLTVZQJ,14.99,4.79,Lindt Swiss Assorted Napolitains Gift Box Containing A Mixture Of Swiss Milk Chocolate Dark Chocolate White Crisp Chocolate Lindor Milk Chocolate And Milk Crisp Chocolate 700 g
grocerydrinkscofeegroundcoffee,785,29488.2,0,1180,Tilz,B09D3Y61MB,24.99,6.32,Coffee Advent Calendar 2021 24 Premium Gourmet Coffee Ground Beans Of Variety Flavours Christmas Calendar Gifts For Coffee Lovers Men Women Unique Advent Calendar
groceryfoodchocolateboxesgifts,795,26709.44,23,1748,Lindt,B099FQV5GS,15.28,4.84,Lindt Master Chocolatier Collection 470 g
groceryfoodchocolateboxesgifts,828,8857.2,0,968,Cadbury,B08BS6T9VH,9.15,3.73,Cadbury Dairy Milk Chocolate Chunks Advent Calendar 258g
groceryfoodchocolateboxesgifts,879,"14,765.22",9,1478,Monty Bojangles,B097FDDV3P,9.99,3.15,"Monty Bojangles Vegan Tower | 3 Gift Boxes - Caramel Haze, Cocoa Berry Blush, Cocoa Nib Nights | Cocoa Dusted Chocolate Truffles, 300g (3 x 100g Gift Pack)"
food,951,3327.5,2.5,1331,Lindt,B07XMS7F29,2.39,,Lindt Lindor Milk Chocolate Truffles Gift Box 75 g
grocerydrinksteagreen,961,13571.52,21,1688,Twinings,B006FGXQEA,8.04,2.99,Twinings Pure Peppermint 20 Tea Bags - Pack of 4 (Total of 80 tea bags)
groceryfoodchocolateboxesgifts,965,19142.34,0,766,HiCollections,B08LZNGWP7,24.99,6.32,Ferrero Collection Advent Calendar 2021 with Milk White and Dark Chocolate Pralines 271g With a Free Merry Christmas Ornament Bauble
food,"1,007","9,799.65",15,1647,Monty Bojangles,B01708F7AC,5.95,2.82,"Monty Bojangles Flutter Scotch Cocoa Dusted Truffles Tip Top Gift | Chocolate Truffles in Gift Box, 150g"
groceryfoodchocolateboxesgifts,1052,11152,0,1312,Hotel Chocolat,B098PVC35W,8.5,3.65,Hotel Chocolat - Everything Pocket Selection
food,1087,21090.93,29,1407,Monty Bojangles,B08CYQ39FW,14.99,4.62,Monty Bojangles Cocoa Dusted Chocolate Truffles Persian Pink Cat Gift Tin 135g
groceryfoodchocolateboxesgifts,1087,16140,14,1345,Lindt,B00AMZ9GQ2,12,4.34,Lindt Creation Dessert Box Assorted Chocolate Box - 40 Pralines 400 g - The Perfect Gift of Milk White and Dark Chocolate
grocerydrinksmilkssubstitutescashew,1104,13016.8,11,1228,Old India,B00JEHEJWA,10.6,4.28,Old India Cashew Nuts 1kg
grocerydrinkswholecoffeebeansunroasted,1117,25586,11,1163,Union Hand-Roasted Coffee,B019KBK2XY,22,6.03,Union Roasted Coffee - Dark Roast - Revelation Espresso Coffee Beans - 1kg
Unsweetened Almond,1121,13513.64,10,578,Clipper Teas Ltd,B015Z4GCLQ,23.38,9.05,Blue Diamond Almond Breeze Unsweetened Almond Milk 8 x 1L
groceryfooddriedfruitsvegetables,1123,7678.68,14,732,CHANDRA,B06XQN86VK,10.49,4.26,Chandras Whole Foods Almonds (1Kg)
grocerydrinksfruitherbaltea,1126,7364,18,1841,Tea Pigs,B0037B0RGQ,4,3.29,Teapigs Chamomile Tea Made With Whole Flowers (1 Pack of 15 Tea Bags)
grocerydrinkswaterflavouredwater,1141,14984,28,1873,San Pellegrino,B08HJ3CW98,8,5.27,San Pellegrino Essenza Sparkling Cherry & Pomegranate Lightly Flavoured Water Can 12 x 330 ml
grocerydrinkssingleservecapsulespods,1145,25923.47,31,1853,Dolce Gusto,B08GSTX49V,13.99,NA,Nescafe Dolce Gusto 48 Capsules/Pods Pick N Mix 3 Boxes ( Choice of 27+ Blends ) Inc Espresso Chocolate Tea and Many More
grocerydrinkscarbonatedwater,1154,21570,21,1438,Sparkling Ice,B07233N8FC,15,7.58,Sparkling Ice Black Raspberry Flavour Sparkling Water with antioxidants and Vitamins No Sugar 500ml Bottles (Pack of 12)
food,1166,1986.17,1.49,1333,Baci,B07YNJPT9L,2.33,,BACI Milk Chocolate Hazelnut Truffles 37.5g Tube Better Than a Chocolate Bar Individually Wrapped Praline Truffle Chocolates with Love Note Luxury Quality Chocolate with Coffee Or After A Meal
groceryfoodchocolateboxesgifts,1180,7692.23,16,1027,Urban Wellbeing,B07VN2F3TC,7.49,2.38,Luxury Vegan Chocolate Creams | 18 Fondant Dark Chocolates 9 Flavour Assortment | Perfect Vegan Gift
groceryfooddriedfruitsvegetables,1214,12037.5,22,1605,Merchant Gourmet,B08WNS67HZ,7.5,3.27,Merchant Gourmet Chestnut Puree - Pack of 6 x 200 g Ready-to-eat Pouches
groceryfoodchocolateboxesgifts,1217,37758.5,5,925,Hotel Chocolat,B0757TRWMZ,40.82,11.41,Hotel Chocolat The Large Chocolate Hamper
grocerydrinkssingleservecapsulespods,1256,14969.3,54,1070,Grano Milano,B08THZ58J6,13.99,4.63,NEW Grano Milano Brasile Aluminium Coffee Capsules | 100% Arabica Nespresso* Original line Compatible Pods Made in Italy | Medium-Bodied | Medium Roast - Intensity 9/12 - 5 Packs (50 Capsules)
groceryfoodchocolateboxesgifts,1290,14185.8,0,710,Lindt Sprungli,B09FYGYMVS,19.98,5.36,Lindt Lindor Blissful Milk/White / Swiss Chocolate Truffles Advent Calendar 300 g - Fun Countdown to Christmas
groceryfoodchocolateboxesgifts,1301,8597.7,12,1230,Anthon Berg,B07TS12RVX,6.99,2.78,Anthon Berg - Marzipan Covered in Dark Chocolate - Cherry & Rum - Box of 220g - With a delicious jam of fresh fruits flavoured with Rum.
grocerydrinksteablack,1307,10206.13,29,1271,PG Tips,B0040JTLGQ,8.03,3.15,PG Tips 200 Individual Enveloped Tagged Tea Bags
grocerydrinksteagreen,1363,11938.05,15,999,nouri,B08VLJ3T27,11.95,4.01,Nouri Organic Matcha Green Tea Powder Ceremonial Grade100g (100 Servings) Pesticide-Free Vegan & Vegetarian - Hot & Cold Drinks Cooking & Baking
grocerydrinkscarbonatedwater,1380,22151.04,23,1668,evian,B01A6JY2K8,13.28,9.08,Evian Still Mineral Water 24x0.5L
groceryfoodchocolateboxesgifts,1394,24530.33,23,1067,Caffeluxé,B07V29JNHY,22.99,6.18,Mars Hot Chocolate Pods - Dolce Gusto Compatible Pods - Galaxy Mars Twix Milky Way & Maltesers - 40 Pods (8 x 5)
grocerydrinkscoldbrewcoffeeconcentrate,1406,18475.92,25,1608,Moreish Coffee Roasters,B07Q3RF7VN,11.49,4.25,Moreish Coffee Bags - Intense Brew - Rainforest Alliance (50 Strong Coffee Bags)
grocerydrinksteagreen,1409,12668.4,9,1380,Twinings,B00TO6HGQC,9.18,3.08,Twinings Gingerbread Green Tea 80 Envelopes (Multipack of 4 x 20 Envelopes)
grocerydrinkssingleservecapsulespods,1411,30604.75,39,1705,Caffe Borbone,B01L01ES3M,17.95,5.41,Caffè Borbone Coffee Respresso Black Blend - 100 Capsules - Compatible with Nespresso®* Home Machines
groceryfoodchocolateboxesgifts,1415,29288.28,0,1172,Bonne Maman,B08L5DX25C,24.99,7.96,Bonne Maman Advent Calender Jars Christmas Gift 30 g Pack of 23
grocerydrinksmilkssubstitutescoconut,1433,8520.81,11,1219,sevenhills wholefoods,B00N31PDKK,6.99,3.07,Sevenhills Wholefoods 500ml Organic Extra Virgin Raw Coconut Oil (Cold-Pressed) Glass Jar for Cooking Baking Skin Moisturiser & Hair Conditioner
grocerydrinkssingleservecapsulespods,1433,21560.76,17,1626,Nescafé Dolce Gusto,B003U72WY2,13.26,4.55,NESCAFÉ Dolce Gusto Caffè Americano Pack of 3 (Total 48 Capsules 48 Servings)
groceryfoodchocolateboxesgifts,1446,14958,13,831,Celebrations,B009GIKIGI,18,6.89,Celebrations Chocolate Box (Maltesers Galaxy Snickers and More) 9 Boxes of 240g
grocerydrinksmilkssubstitutescoconut,1476,16596.6,30,1668,CocoNativo,B073P974FR,9.95,3.72,Organic Coconut Oil CocoNativo - 1000mL (1Liter) - Extra Virgin Coconut Oil Premium Native Cold Pressed Raw Food Quality Pure (1000ml) - for Cooking Frying and Baking for Hair and Skin
grocerydrinksteagreen,1479,21819.6,38,1368,PureChimp,B01EHZJO9G,15.95,4.76,PureChimp Matcha Green Tea Powder | Regular/Lemon/Mint/Turmeric 50g Jars [Packs of 2] | Ceremonial Grade from Japan | All Natural & Vegan | Pesticide-Free (1 x Lemon & 1 x Mint)
grocerydrinksteagreen,1480,8454.6,25,1540,Royal Chai,B0045FSIUK,5.49,2.78,Royal Chai Elaichi Premium Instant Indian Tea Sweetened
grocerydrinksteateagifts,1485,46530,26,1410,Clearwater Hampers,B071Z7RL6V,33,7.96,Teatime Delights Hamper Luxury Food & Afternoon Tea Gift Hampers Hamper and Gift Baskets…
groceryfooddriedfruitsvegetables,1485,8068.53,24,1347,Bulk,B00SP32KZ2,5.99,2.99,Bulk Chia Seeds 500 g Packaging May Vary
grocerydrinkschilledjuicesmoothiesfruitjuice,1504,1124.04,0.87,1292,Happy Belly,B08FJNW95Z,2.91,,Amazon Brand - Happy Belly Apple Juice From Concentrate 1 Litre
grocerydrinksmilkssubstitutesoat,1547,8776.8,6,920,Minor Figures,B086S7L9RJ,9.54,6.06,Minor Figures Organic Oat Milk Made in The UK | Barista Oat Milk 1 Litre (6 x 1L) | Organic | No Added Sugar | Non Dairy Milk | Vegan | Shelf Stable
grocerydrinkscarbonatedwater,1561,19644.6,17,1740,KIRKLAND SIGNATURE,B01L28J2Y8,11.29,9.97,Kirkland Signature Spring Water 500ml 40 Bottles
grocerydrinkssingleservecapsulespods,1567,23129.7,70,1793,BREWBLACK,B08MPYQ4LZ,12.9,4.47,BrewBlack Crema Coffee Capsules - Nespresso* Original line Compatible Pods Made in Italy | Flavour Notes: Cocoa Citrus Creaminess & Nuts | Intensity 8/12 - 5 Packs (50 Capsules)
grocerydrinkstea,1570,24387.28,30,1367,Tetley,B007IJ00TC,17.84,8.24,Tetley One Cup Tea Bags Catering Pack (Pack of 1100)
grocerydrinkstea,1590,10948.08,12,1276,Clipper,B07RK8LZZQ,8.58,3.03,Clipper Organic Nettle Herbal Infusion 20 Teabags (Pack of 6 Total 120 Teabags)
grocerydrinkscoldbrewcoffeeconcentrate,1647,19650,10,1310,Tea Pigs,B09GK6WM93,15,NA,Teapigs Everyday Brew Black Loose Tea Made With Whole Leaves (1 Pack of 250g Loose Tea) & Chai Loose Tea Made with Whole Leaves (1 Pack of 250g Loose Tea) 1203
grocerydrinksjuicesmoothies,1648,12827.56,25,764,Monin,B003UIFMCK,16.79,5.48,MONIN Banana Fruit Mix Puree 1 Litre
groceryfoodjamshoneyspreads,1660,12970.56,20,1416,PB2 Foods,B00TDFSCSA,9.16,3.27,PB2 Foods Powdered Peanut Butter 454g from Real Roasted Pressed Peanuts High in Protein Natural Ingredients
groceryfoodoilvinegarssaladdressings,1662,24269.59,11,991,Odysea,B08493Q2HJ,24.49,8.27,Odysea Greek Extra Virgin Olive Oil PGI Chania 3L
grocerydrinksjuicesmoothiessmoothies,1692,20650.5,0,1059,BEET IT,B01LB714FU,19.5,8.4,Beet It Organic Beetroot Juice (Pack of 6 x 750ml Bottles) Picked and Pressed
grocerydrinkstea,1694,3695.64,2.99,1236,The Natural Health Market,B01162TITO,1.75,,Organic Hibiscus Tea Bags (10 Bags) by The Natural health Market • Roselle Tea Bags Produce a Vivid Red Tea • 100% Natural Hibiscus Flowers
grocerydrinksmilkssubstitutescoconut,1697,10489.86,3,1154,Coconut Merchant,B00PK9KYN4,9.09,3.26,Coconut Merchant Organic Coconut Oil 500mL | Extra Virgin Raw Cold Pressed Unrefined | Ethically Sourced Vegan Ketogenic and 100% Natural | for Hair Skin & Cooking
groceryfoodjamshoneyspreads,1706,12232.2,2,1102,Nelson Honey UK,B002F5GWGO,11.1,4.03,Nelson Honey New Zealand Manuka Honey (30+) 250g
grocerydrinkssingleservecapsulespods,1734,16482.69,27,1377,Dolce Gusto,B00NHXH8D4,11.97,4.79,Nescafe Dolce Gusto Ristretto Ardenza Coffee Pods (Pack of 3 Total 48 Capsules)
grocerydrinksmilkssubstitutescoconut,1766,12069,8.94,1350,OPTIMA,B00E9VXD9G,3.98,,Optima Organic Coconut Oil 453 g
grocerydrinkscofeegroundcoffee,1821,14362.5,11.49,1250,Moreish Coffee Roasters,B07Q4PP57W,4.25,,Moreish Coffee Bags - Smooth Colombian Fairtrade (50 Single Origin Coffee Bags)
groceryfooddriedfruitsvegetables,1922,28760.49,22.99,1251,Everyday Superfood,B079DGN2ZF,6.18,,Pistachio Nuts Kernels 1kg Raw Shelled Pistachios Unsalted Pistachios Kernels Ideal for Pistachio Snacks or Desserts & Pudding by Everyday Superfood
groceryfooddriedfruitsvegetables,1989,13113.45,10.35,1267,zeina LOVE OUR FOOD,B00SYHMUYU,4.24,,Zeina Raw Almonds 1 x 1Kg
groceryfoodjamshoneyspreads,2102,12367.62,9.99,1238,MANÍLIFE,B07R72Z2QW,3.48,,ManiLife Peanut Butter 1kg - All Natural Single Origin No Added Sugar No Palm Oil - Original Roast Crunchy - (1 x 1kg)
groceryfoodjamshoneyspreads,"2,129","6,710.40",29,960,Delizie Vaticane,B009JDP9BO,6.99,2.9,NDUJA DI SPILINGA by Delizie Vaticane 180g (Spicy Spreadable Italian Sausage) - Italian Artisan Food Gourmet Delicatessen
grocerydrinkscofeegroundcoffee,"2,157","4,427.50",18,805,illy,B00KCHK9XO,5.5,2.78,"illy Coffee, Intenso Filter Coffee, Dark Roast, 100% Arabica Coffee Beans, 250g"
grocerydrinkswaterflavouredwater,2237,23931.38,17.98,1331,San Pellegrino,B00JJN8416,9.66,,San Pellegrino Sparkling Bottled Water 24x500ml
grocerydrinkschilleddrinksfermenteddrinks,2263,40126.62,29.99,1338,REMEDY Kombucha,B085T5R57B,9.86,,Remedy Raw Kombucha Tea Kefir and Switchel Mixed Case - Sparkling Live Cultured Drinks - 24x250 Milliliter Can Case
groceryfooddriedfruitsvegetables,"2,316","13,911.30",9,870,CHANDRA,B06XVG2JJS,15.99,5.11,Chandras Whole Foods - Walnuts Halves (1kg)
grocerydrinkssingleservecapsulespods,"2,576","4,312.00",14,616,illy,B000TFSKLM,7,2.9,"Illy Classico Medium Espresso Coffee Paper Pods,1 pack with 18 Servings"
groceryfoodjamshoneyspreads,"2,808","1,231.36",18,416,Groovy Food Company,B07R1RHMMV,2.96,2.74,"The Groovy Food Company Organic Mexican Wildflower Honey, 340 g"
grocerydrinkswaterflavouredwater,2846,21146.28,16.89,1252,VOSS UK,B00OLYO70U,7.2,,VOSS UK Water Artesian Still Water Natural Pure Water PET Water Bottles Bulk Pack of 12 x 330 ml
groceryfooddriedfruitsvegetables,"2,847","8,185.32",3,468,CHANDRA,B06XQN3CMJ,17.49,5.33,Chandras Whole Foods - groceryfooddriedfruitsvegetables (1kg)
grocerydrinksteablack,2959,11806.08,8.58,1376,Clipper,B07HN4B37D,3.03,,Clipper Organic Dandelion Infusion 20 Bags (Pack of 6 Total 120 Teabags)
grocerydrinksfruitherbalteablends,2963,13620,10,1362,Pukka Herbs,B0069RL9GM,3.15,,Pukka Licorice & Cinnamon Organic Herbal Tea (4 Pack 80 Tea bags)
grocerydrinkswaterstillwater,"3,068","10,822.38",15,951,Volvic,B01A6JYR6C,11.38,8.86,"Volvic Still Mineral Water, 24x500ml"
groceryfoodoilvinegarssaladdressings,"3,070","7,985.76",9,524,HEINZ,B010E0NN3G,15.24,6.47,"Heinz Salad Cream, 10 ml (Pack of 200)"
food,"3,602","3,790.52",3,386,Funkin,B011C5GKB4,9.82,3.46,"Funkin Pro Apple Fruit Puree, 1 kg"
groceryfoodjamshoneyspreads,"4,298","1,716.65",0,247,Lotus Bakeries,B08F4FDRWJ,6.95,3.07,Lotus Biscoff Spread 200g x 2 Bundle
groceryfoodjamshoneyspreads,"4,405","4,626.79",14,421,Lotus Bakeries,B06XXCLLH2,10.99,3.73,Lotus Biscoff 1.6kg Jar - Original Caramelised Spread Smooth
groceryfoodchocolateboxesgifts,"5,646","7,414.00",0,337,T2 Tea,B09BYP45Y2,22,5.87,"T2 Tea 24 Reasons to Smile: Loose Leaf Advent Calendar for Christmas 2021, Countdown to Christmas, 24 Assorted Loose Leaf Sachets, Black, Herbal, Green, Fruit Teas"
groceryfooddriedfruitsvegetables,"5,864","4,853.01",0,249,sevenhills wholefoods,B00M423QQC,19.49,7.12,Sevenhills Wholefoods Organic Chia Seeds 2kg
grocerydrinkswaterflavouredwater,"9,534","4,214.00",3,301,evian,B000J69KGA,14,8.97,"Evian Still Water, 500ml- Pack of 24"
grocerydrinksfruitherbalteablends,"10,986","1,218.00",1,203,HOTTEA MAMA,B077Q7RH2M,6,2.68,"HOTTEA MAMA Get Up and Glow Pregnancy Tea, Caffeine-free Tropical Fruit Infusion, 15 Whole Leaf Biodegradable Tea Pyramids, Award Winning And Designed For Pregnant Women And Motherhood"
grocerydrinkscoldbrewcoffeeconcentrate,20183,10181.75,6.95,1465,GROWER'S CUP,B08JYNDXG7,NA,,Christmas Greeting Cards for Coffee Lovers – Includes 2 Premium Coffee Brewers with Gourmet Coffees of The World | Unique & Unusual Hamper Style Letterbox Gift Idea for Men & Women
grocerydrinksteateagifts,"35,259","1,218.47",0,53,Whittard of Chelsea,B0963F1JTH,22.99,6.02,"Whittard of Chelsea | The Tea Discovery Collection Gift Set | Suitable for Vegans & Vegetarians | A selection of 8 Black, Green & White Teas | 8 x 20 eco Tea Bags"
grocerydrinksjuicesmoothies,"63,385","1,020.21",0,31,Vita Coco,B00AE4W1DG,32.91,12.17,Vita Coco - Pure Coconut Water (1L x 12) - Naturally Hydrating - Packed With Electrolytes - Gluten Free - Full Of Vitamin C & Potassium
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
